
1,"1 kopiyka","stainless steel",1,,Ukraine,0,,,1,2008
2,"2 kopiyky","stainless steel",2,,Ukraine,0,,,1,2009
3,"5 kopiyok","stainless steel",5,,Ukraine,0,,,1,2009
4,"10 kopiyok","aluminium bronze",10,,Ukraine,0,,,1,2009
5,"25 kopiyok","aluminium bronze",25,,Ukraine,0,,,1,2009
6,"2 kopiyky",aluminium,2,NULL,Ukraine,1,"Coin was made in France.",NULL,0,1993
7,"50 kopiyok","aluminium bronze",50,NULL,Ukraine,0,,NULL,1,2008
8,"1 hryvnya","aluminium bronze",100,NULL,Ukraine,1,Rare,NULL,1,2002
9,"1 hryvnya","aluminium bronze",100,NULL,Ukraine,1,"Volodymyr's Velykiy face",NULL,1,2006
